product_id,category,sales_amount,quantity,date
P001,Electronics,1500.0,2,2024-01-01
P002,Electronics,800.0,1,2024-01-02
P003,Clothing,1200.0,3,2024-01-03
P004,Clothing,500.0,1,2024-01-04
P005,Electronics,2000.0,1,2024-01-05
P006,Books,300.0,5,2024-01-06
P007,Electronics,750.0,2,2024-01-07
P008,Clothing,1800.0,4,2024-01-08
P009,Books,450.0,3,2024-01-09
P010,Electronics,1100.0,1,2024-01-10
P011,Clothing,650.0,2,2024-01-11
P012,Books,200.0,4,2024-01-12
P013,Electronics,2500.0,1,2024-01-13
P014,Clothing,900.0,3,2024-01-14
P015,Books,350.0,2,2024-01-15
